Preferred_Name	Name	Source
ENSG00000028203	ENSP00000447468	Ensembl Protein ID
ENSG00000028203	ENSP00000447633	Ensembl Protein ID
ENSG00000028203	ENSP00000447786	Ensembl Protein ID
ENSG00000028203	ENSP00000447891	Ensembl Protein ID
ENSG00000028203	ENSP00000448019	Ensembl Protein ID
ENSG00000028203	ENSP00000448555	Ensembl Protein ID
ENSG00000028203	ENSP00000448724	Ensembl Protein ID
ENSG00000028203	ENSP00000448738	Ensembl Protein ID
ENSG00000028203	ENSP00000448866	Ensembl Protein ID
ENSG00000028203	ENSP00000449056	Ensembl Protein ID
ENSG00000028203	ENSP00000449346	Ensembl Protein ID
ENSG00000028203	ENSP00000449591	Ensembl Protein ID
ENSG00000028203	ENSP00000449701	Ensembl Protein ID
ENSG00000028203	ENSP00000450009	Ensembl Protein ID
ENSG00000028203	55591	Entrez Gene ID
ENSG00000028203	VEZT	Gene Name
ENSG00000028203	NP_060069	RefSeq Protein ID
ENSG00000028203	NM_017599	RefSeq mRNA ID
ENSG00000028203	DKFZP761C241	Synonym
ENSG00000028203	Q9HBM0	Uniprot ID
ENSG00000032389	ENSG00000032389	Ensembl Gene ID
ENSG00000032389	ENSP00000371559	Ensembl Protein ID
ENSG00000032389	ENSP00000381652	Ensembl Protein ID
ENSG00000032389	ENSP00000385756	Ensembl Protein ID
ENSG00000032389	ENSP00000389080	Ensembl Protein ID
ENSG00000032389	ENSP00000389228	Ensembl Protein ID
ENSG00000032389	ENSP00000393350	Ensembl Protein ID
ENSG00000032389	ENSP00000400214	Ensembl Protein ID
ENSG00000032389	ENSP00000403043	Ensembl Protein ID
ENSG00000032389	7260	Entrez Gene ID
ENSG00000032389	TSSC1	Gene Name
ENSG00000032389	NP_003301	RefSeq Protein ID
ENSG00000032389	NM_003310	RefSeq mRNA ID
ENSG00000032389	Q53HC9	Uniprot ID
ENSG00000035681	ENSG00000035681	Ensembl Gene ID
ENSG00000035681	ENSP00000038176	Ensembl Protein ID
ENSG00000035681	ENSP00000411012	Ensembl Protein ID
ENSG00000035681	ENSP00000430195	Ensembl Protein ID
ENSG00000035681	ENSP00000430982	Ensembl Protein ID
ENSG00000035681	8439	Entrez Gene ID
ENSG00000035681	NSMAF	Gene Name
ENSG00000035681	NP_001138244	RefSeq Protein ID
ENSG00000035681	NP_003571	RefSeq Protein ID
ENSG00000035681	NM_001144772	RefSeq mRNA ID
ENSG00000035681	NM_003580	RefSeq mRNA ID
ENSG00000035681	FAN	Synonym
ENSG00000035681	GRAMD5	Synonym
ENSG00000035681	Q92636	Uniprot ID
ENSG00000037637	ENSG00000037637	Ensembl Gene ID
ENSG00000037637	ENSP00000364742	Ensembl Protein ID
ENSG00000037637	ENSP00000412416	Ensembl Protein ID
ENSG00000037637	ENSP00000415663	Ensembl Protein ID
ENSG00000037637	54455	Entrez Gene ID
ENSG00000037637	FBXO42	Gene Name
ENSG00000037637	NP_061867	RefSeq Protein ID
ENSG00000037637	NM_018994	RefSeq mRNA ID
ENSG00000037637	Fbx42	Synonym
ENSG00000037637	KIAA1332	Synonym
ENSG00000037637	Q6P3S6	Uniprot ID
ENSG00000038382	ENSG00000038382	Ensembl Gene ID
ENSG00000038382	ENSP00000339291	Ensembl Protein ID
ENSG00000038382	ENSP00000339299	Ensembl Protein ID
ENSG00000038382	ENSP00000421555	Ensembl Protein ID
ENSG00000038382	ENSP00000426342	Ensembl Protein ID
ENSG00000038382	ENSP00000445592	Ensembl Protein ID
ENSG00000038382	ENSP00000483869	Ensembl Protein ID
ENSG00000038382	7204	Entrez Gene ID
ENSG00000038382	TRIO	Gene Name
ENSG00000038382	NP_009049	RefSeq Protein ID
ENSG00000038382	NM_007118	RefSeq mRNA ID
ENSG00000038382	ARHGEF23	Synonym
ENSG00000038382	O75962	Uniprot ID
ENSG00000038532	ENSG00000038532	Ensembl Gene ID
ENSG00000038532	ENSP00000261657	Ensembl Protein ID
ENSG00000038532	ENSP00000386495	Ensembl Protein ID
ENSG00000038532	ENSP00000387122	Ensembl Protein ID
ENSG00000038532	ENSP00000389743	Ensembl Protein ID
ENSG00000038532	ENSP00000389963	Ensembl Protein ID
ENSG00000038532	23274	Entrez Gene ID
ENSG00000038532	CLEC16A	Gene Name
ENSG00000038532	NP_001230332	RefSeq Protein ID
ENSG00000038532	NP_056041	RefSeq Protein ID
ENSG00000038532	NM_001243403	RefSeq mRNA ID
ENSG00000038532	NM_015226	RefSeq mRNA ID
ENSG00000038532	Gop-1	Synonym
ENSG00000038532	KIAA0350	Synonym
ENSG00000038532	Q2KHT3	Uniprot ID
ENSG00000039560	ENSG00000039560	Ensembl Gene ID
ENSG00000039560	ENSP00000265109	Ensembl Protein ID
ENSG00000039560	ENSP00000388725	Ensembl Protein ID
ENSG00000039560	ENSP00000421424	Ensembl Protein ID
ENSG00000039560	ENSP00000422112	Ensembl Protein ID
ENSG00000039560	ENSP00000422114	Ensembl Protein ID
ENSG00000039560	ENSP00000422377	Ensembl Protein ID
ENSG00000039560	ENSP00000422515	Ensembl Protein ID
ENSG00000039560	ENSP00000422942	Ensembl Protein ID
ENSG00000039560	ENSP00000423854	Ensembl Protein ID
ENSG00000039560	ENSP00000423965	Ensembl Protein ID
ENSG00000039560	ENSP00000424502	Ensembl Protein ID
ENSG00000039560	ENSP00000424507	Ensembl Protein ID
ENSG00000039560	ENSP00000424879	Ensembl Protein ID
ENSG00000039560	ENSP00000425115	Ensembl Protein ID
ENSG00000039560	ENSP00000425337	Ensembl Protein ID
ENSG00000039560	ENSP00000425929	Ensembl Protein ID
ENSG00000039560	ENSP00000426770	Ensembl Protein ID
ENSG00000039560	ENSP00000427123	Ensembl Protein ID
ENSG00000039560	26064	Entrez Gene ID
ENSG00000039560	RAI14	Gene Name
ENSG00000039560	NP_001138992	RefSeq Protein ID
ENSG00000039560	NP_001138993	RefSeq Protein ID
ENSG00000039560	NP_001138994	RefSeq Protein ID
ENSG00000039560	NP_001138995	RefSeq Protein ID
ENSG00000039560	NP_001138997	RefSeq Protein ID
ENSG00000039560	NP_056392	RefSeq Protein ID
ENSG00000039560	NM_001145520	RefSeq mRNA ID
ENSG00000039560	NM_001145521	RefSeq mRNA ID
ENSG00000039560	NM_001145522	RefSeq mRNA ID
ENSG00000039560	NM_001145523	RefSeq mRNA ID
ENSG00000039560	NM_001145525	RefSeq mRNA ID
ENSG00000039560	NM_015577	RefSeq mRNA ID
ENSG00000039560	DKFZp564G013	Synonym
ENSG00000039560	KIAA1334	Synonym
ENSG00000039560	NORPEG	Synonym
ENSG00000039560	RAI13	Synonym
ENSG00000039560	Q9P0K7	Uniprot ID
ENSG00000044090	ENSG00000044090	Ensembl Gene ID
ENSG00000044090	ENSP00000265348	Ensembl Protein ID
ENSG00000044090	ENSP00000438788	Ensembl Protein ID
ENSG00000044090	9820	Entrez Gene ID
ENSG00000044090	CUL7	Gene Name
ENSG00000044090	NP_001161842	RefSeq Protein ID
ENSG00000044090	NP_055595	RefSeq Protein ID
ENSG00000044090	NM_001168370	RefSeq mRNA ID
ENSG00000044090	NM_014780	RefSeq mRNA ID
ENSG00000044090	dJ20C7.5	Synonym
ENSG00000044090	KIAA0076	Synonym
ENSG00000044090	Q14999	Uniprot ID
ENSG00000044574	ENSG00000044574	Ensembl Gene ID
ENSG00000044574	ENSP00000324173	Ensembl Protein ID
ENSG00000044574	3309	Entrez Gene ID
ENSG00000044574	HSPA5	Gene Name
ENSG00000044574	NP_005338	RefSeq Protein ID
ENSG00000044574	NM_005347	RefSeq mRNA ID
ENSG00000044574	BiP	Synonym
ENSG00000044574	GRP78	Synonym
ENSG00000044574	P11021	Uniprot ID
ENSG00000051620	ENSG00000051620	Ensembl Gene ID
ENSG00000051620	ENSP00000356670	Ensembl Protein ID
ENSG00000051620	ENSP00000392101	Ensembl Protein ID
ENSG00000051620	ENSP00000395958	Ensembl Protein ID
ENSG00000051620	ENSP00000475750	Ensembl Protein ID
ENSG00000051620	23593	Entrez Gene ID
ENSG00000051620	HEBP2	Gene Name
ENSG00000051620	NP_001313310	RefSeq Protein ID
ENSG00000051620	NP_055135	RefSeq Protein ID
ENSG00000051620	NM_014320	RefSeq mRNA ID
ENSG00000051620	C6orf34	Synonym
ENSG00000051620	SOUL	Synonym
ENSG00000051620	Q9Y5Z4	Uniprot ID
ENSG00000052344	ENSG00000052344	Ensembl Gene ID
ENSG00000052344	ENSP00000319730	Ensembl Protein ID
ENSG00000052344	ENSP00000457673	Ensembl Protein ID
ENSG00000052344	ENSP00000457750	Ensembl Protein ID
ENSG00000052344	ENSP00000458056	Ensembl Protein ID
ENSG00000052344	5652	Entrez Gene ID
ENSG00000052344	PRSS8	Gene Name
ENSG00000052344	NP_002764	RefSeq Protein ID
ENSG00000052344	NM_002773	RefSeq mRNA ID
ENSG00000052344	Q16651	Uniprot ID
ENSG00000054523	ENSG00000054523	Ensembl Gene ID
ENSG00000054523	ENSP00000263934	Ensembl Protein ID
ENSG00000054523	ENSP00000366284	Ensembl Protein ID
ENSG00000054523	ENSP00000366287	Ensembl Protein ID
ENSG00000054523	ENSP00000366290	Ensembl Protein ID
ENSG00000054523	ENSP00000366297	Ensembl Protein ID
ENSG00000054523	ENSP00000478500	Ensembl Protein ID
ENSG00000054523	ENSP00000480063	Ensembl Protein ID
ENSG00000054523	ENSP00000489057	Ensembl Protein ID
ENSG00000054523	23095	Entrez Gene ID
ENSG00000054523	KIF1B	Gene Name
ENSG00000054523	NP_055889	RefSeq Protein ID
ENSG00000054523	NP_904325	RefSeq Protein ID
ENSG00000054523	NM_015074	RefSeq mRNA ID
ENSG00000054523	NM_183416	RefSeq mRNA ID
ENSG00000054523	CMT2A	Synonym
ENSG00000054523	HMSNII	Synonym
ENSG00000054523	KIAA0591	Synonym
ENSG00000054523	KLP	Synonym
ENSG00000054523	O60333	Uniprot ID
ENSG00000060237	ENSG00000060237	Ensembl Gene ID
ENSG00000060237	ENSP00000313059	Ensembl Protein ID
ENSG00000060237	ENSP00000341292	Ensembl Protein ID
ENSG00000060237	ENSP00000392542	Ensembl Protein ID
ENSG00000060237	ENSP00000433548	Ensembl Protein ID
ENSG00000060237	ENSP00000437503	Ensembl Protein ID
ENSG00000060237	ENSP00000438313	Ensembl Protein ID
ENSG00000060237	ENSP00000438985	Ensembl Protein ID
ENSG00000060237	ENSP00000439552	Ensembl Protein ID
ENSG00000060237	ENSP00000441972	Ensembl Protein ID
ENSG00000060237	ENSP00000444465	Ensembl Protein ID
ENSG00000060237	ENSP00000446253	Ensembl Protein ID
ENSG00000060237	ENSP00000446462	Ensembl Protein ID
ENSG00000060237	ENSP00000459380	Ensembl Protein ID
ENSG00000060237	ENSP00000460651	Ensembl Protein ID
ENSG00000060237	65125	Entrez Gene ID
ENSG00000060237	WNK1	Gene Name
ENSG00000060237	NP_001171914	RefSeq Protein ID
ENSG00000060237	NP_055638	RefSeq Protein ID
ENSG00000060237	NP_061852	RefSeq Protein ID
ENSG00000060237	NP_998820	RefSeq Protein ID
ENSG00000060237	NM_001184985	RefSeq mRNA ID
ENSG00000060237	NM_014823	RefSeq mRNA ID
ENSG00000060237	NM_018979	RefSeq mRNA ID
ENSG00000060237	NM_213655	RefSeq mRNA ID
ENSG00000060237	HSAN2	Synonym
ENSG00000060237	HSN2	Synonym
ENSG00000060237	PPP1R167	Synonym
ENSG00000060237	PRKWNK1	Synonym
ENSG00000060237	Q9H4A3	Uniprot ID
ENSG00000062038	ENSG00000062038	Ensembl Gene ID
ENSG00000062038	ENSP00000264012	Ensembl Protein ID
ENSG00000062038	ENSP00000398485	Ensembl Protein ID
ENSG00000062038	ENSP00000462111	Ensembl Protein ID
ENSG00000062038	ENSP00000463267	Ensembl Protein ID
ENSG00000062038	ENSP00000463364	Ensembl Protein ID
ENSG00000062038	ENSP00000463415	Ensembl Protein ID
ENSG00000062038	ENSP00000464021	Ensembl Protein ID
ENSG00000062038	ENSP00000464058	Ensembl Protein ID
ENSG00000062038	1001	Entrez Gene ID
ENSG00000062038	CDH3	Gene Name
ENSG00000062038	NP_001304124	RefSeq Protein ID
ENSG00000062038	NP_001304125	RefSeq Protein ID
ENSG00000062038	NP_001784	RefSeq Protein ID
ENSG00000062038	NM_001317195	RefSeq mRNA ID
ENSG00000062038	NM_001793	RefSeq mRNA ID
ENSG00000062038	CDHP	Synonym
ENSG00000062038	PCAD	Synonym
ENSG00000062038	P22223	Uniprot ID
ENSG00000063127	ENSG00000063127	Ensembl Gene ID
ENSG00000063127	ENSP00000338627	Ensembl Protein ID
ENSG00000063127	ENSP00000404022	Ensembl Protein ID
ENSG00000063127	ENSP00000469885	Ensembl Protein ID
ENSG00000063127	ENSP00000470623	Ensembl Protein ID
ENSG00000063127	ENSP00000472191	Ensembl Protein ID
ENSG00000063127	ENSP00000472752	Ensembl Protein ID
ENSG00000063127	28968	Entrez Gene ID
ENSG00000063127	SLC6A16	Gene Name
ENSG00000063127	NP_054756	RefSeq Protein ID
ENSG00000063127	NM_014037	RefSeq mRNA ID
ENSG00000063127	NTT5	Synonym
ENSG00000063127	Q9GZN6	Uniprot ID
ENSG00000063245	ENSG00000063245	Ensembl Gene ID
ENSG00000063245	ENSP00000085079	Ensembl Protein ID
ENSG00000063245	ENSP00000270460	Ensembl Protein ID
ENSG00000063245	ENSP00000406209	Ensembl Protein ID
ENSG00000063245	ENSP00000466593	Ensembl Protein ID
ENSG00000063245	29924	Entrez Gene ID
ENSG00000063245	EPN1	Gene Name
ENSG00000063245	NP_001123543	RefSeq Protein ID
ENSG00000063245	NP_001123544	RefSeq Protein ID
ENSG00000063245	NP_037465	RefSeq Protein ID
ENSG00000063245	NM_001130071	RefSeq mRNA ID
ENSG00000063245	NM_001130072	RefSeq mRNA ID
ENSG00000063245	NM_013333	RefSeq mRNA ID
ENSG00000063245	Q9Y6I3	Uniprot ID
ENSG00000065526	ENSG00000065526	Ensembl Gene ID
ENSG00000065526	ENSP00000364912	Ensembl Protein ID
ENSG00000065526	ENSP00000388021	Ensembl Protein ID
ENSG00000065526	ENSP00000400914	Ensembl Protein ID
ENSG00000065526	23013	Entrez Gene ID
ENSG00000065526	SPEN	Gene Name
ENSG00000065526	NP_055816	RefSeq Protein ID
ENSG00000065526	NM_015001	RefSeq mRNA ID
ENSG00000065526	KIAA0929	Synonym
ENSG00000065526	MINT	Synonym
ENSG00000065526	RBM15C	Synonym
ENSG00000065526	SHARP	Synonym
ENSG00000065526	Q96T58	Uniprot ID
ENSG00000065600	ENSG00000065600	Ensembl Gene ID
ENSG00000065600	ENSP00000261455	Ensembl Protein ID
ENSG00000065600	ENSP00000438863	Ensembl Protein ID
ENSG00000065600	55248	Entrez Gene ID
ENSG00000065600	TMEM206	Gene Name
ENSG00000065600	NP_001185791	RefSeq Protein ID
ENSG00000065600	NP_060722	RefSeq Protein ID
ENSG00000065600	NM_001198862	RefSeq mRNA ID
ENSG00000065600	NM_018252	RefSeq mRNA ID
ENSG00000065600	C1orf75	Synonym
ENSG00000065600	FLJ10874	Synonym
ENSG00000065600	Q9H813	Uniprot ID
ENSG00000065675	ENSG00000065675	Ensembl Gene ID
ENSG00000065675	ENSP00000263125	Ensembl Protein ID
ENSG00000065675	ENSP00000380361	Ensembl Protein ID
ENSG00000065675	ENSP00000441752	Ensembl Protein ID
ENSG00000065675	ENSP00000483428	Ensembl Protein ID
ENSG00000065675	5588	Entrez Gene ID
ENSG00000065675	PRKCQ	Gene Name
ENSG00000065675	NP_001229342	RefSeq Protein ID
ENSG00000065675	NP_001269573	RefSeq Protein ID
ENSG00000065675	NP_001269574	RefSeq Protein ID
ENSG00000065675	NP_001310194	RefSeq Protein ID
ENSG00000065675	NP_001310195	RefSeq Protein ID
ENSG00000065675	NP_001310196	RefSeq Protein ID
ENSG00000065675	NP_006248	RefSeq Protein ID
ENSG00000065675	NM_001242413	RefSeq mRNA ID
ENSG00000065675	NM_001282644	RefSeq mRNA ID
ENSG00000065675	NM_001282645	RefSeq mRNA ID
ENSG00000065675	NM_001323265	RefSeq mRNA ID
ENSG00000065675	NM_001323266	RefSeq mRNA ID
ENSG00000065675	NM_006257	RefSeq mRNA ID
ENSG00000065675	Q04759	Uniprot ID
ENSG00000066739	ENSG00000066739	Ensembl Gene ID
ENSG00000066739	ENSP00000353010	Ensembl Protein ID
ENSG00000066739	55102	Entrez Gene ID
ENSG00000066739	ATG2B	Gene Name
ENSG00000066739	NP_060506	RefSeq Protein ID
ENSG00000066739	NM_018036	RefSeq mRNA ID
ENSG00000066739	C14orf103	Synonym
ENSG00000066739	FLJ10242	Synonym
ENSG00000066739	Q96BY7	Uniprot ID
ENSG00000067182	ENSG00000067182	Ensembl Gene ID
ENSG00000067182	ENSP00000162749	Ensembl Protein ID
ENSG00000067182	ENSP00000380389	Ensembl Protein ID
ENSG00000067182	ENSP00000413224	Ensembl Protein ID
